DATE,DCOILWTICO
2020-04-27,12.17
2020-04-28,12.4
2020-04-29,15.04
2020-04-30,19.23
2020-05-01,19.72
2020-05-04,20.47
2020-05-05,24.56
2020-05-06,23.88
2020-05-07,23.68
2020-05-08,24.73
2020-05-11,24.02
2020-05-12,25.76
2020-05-13,25.37
2020-05-14,27.4
2020-05-15,29.44
2020-05-18,31.83
2020-05-19,32.3
2020-05-20,33.56
2020-05-21,34.3
2020-05-22,33.49
2020-05-25,.
2020-05-26,34.7
2020-05-27,32.8
2020-05-28,33.67
2020-05-29,35.57
2020-06-01,35.49
2020-06-02,36.88
2020-06-03,37.33
2020-06-04,37.42
2020-06-05,39.49
2020-06-08,38.17
2020-06-09,38.98
2020-06-10,39.54
2020-06-11,36.43
2020-06-12,36.24
2020-06-15,37.07
2020-06-16,38.26
2020-06-17,37.91
2020-06-18,38.79
2020-06-19,39.72
2020-06-22,40.6
2020-06-23,40.4
2020-06-24,37.91
2020-06-25,38.66
2020-06-26,38.53
2020-06-29,39.67
2020-06-30,39.27
2020-07-01,39.88
2020-07-02,40.57
2020-07-03,.
2020-07-06,40.51
2020-07-07,40.59
2020-07-08,40.91
2020-07-09,39.64
2020-07-10,40.56
2020-07-13,40.06
2020-07-14,40.3
2020-07-15,41.2
2020-07-16,40.74
2020-07-17,40.55
2020-07-20,40.83
2020-07-21,41.76
2020-07-22,41.88
2020-07-23,40.99
2020-07-24,41.23
2020-07-27,41.46
2020-07-28,40.89
2020-07-29,41.13
2020-07-30,39.85
2020-07-31,40.1
2020-08-03,40.83
2020-08-04,41.67
2020-08-05,42.25
2020-08-06,41.93
2020-08-07,41.16
2020-08-10,41.94
2020-08-11,41.53
2020-08-12,42.6
2020-08-13,42.26
2020-08-14,42.05
2020-08-17,42.89
2020-08-18,42.89
2020-08-19,42.91
2020-08-20,42.62
2020-08-21,42.32
2020-08-24,42.44
2020-08-25,43.17
2020-08-26,43.21
2020-08-27,42.88
2020-08-28,42.96
2020-08-31,42.61
2020-09-01,42.76
2020-09-02,42.76
2020-09-03,41.39
2020-09-04,39.69
2020-09-07,.
2020-09-08,36.87
2020-09-09,38.05
2020-09-10,37.25
2020-09-11,37.33
2020-09-14,37.23
2020-09-15,38.29
2020-09-16,40.17
2020-09-17,40.99
2020-09-18,41.09
2020-09-21,39.26
2020-09-22,39.55
2020-09-23,39.92
2020-09-24,40.11
2020-09-25,40.06
2020-09-28,40.47
2020-09-29,39.03
2020-09-30,40.05
2020-10-01,38.51
2020-10-02,36.9
2020-10-05,39.12
2020-10-06,40.52
2020-10-07,39.82
2020-10-08,41.04
2020-10-09,40.44
2020-10-12,39.22
2020-10-13,40.03
2020-10-14,40.86
2020-10-15,40.84
2020-10-16,40.7
2020-10-19,40.69
2020-10-20,41.37
2020-10-21,39.88
2020-10-22,40.46
2020-10-23,39.73
2020-10-26,38.39
2020-10-27,39.34
2020-10-28,37.27
2020-10-29,35.94
2020-10-30,35.64
2020-11-02,36.6
2020-11-03,37.44
2020-11-04,38.97
2020-11-05,38.56
2020-11-06,36.97
2020-11-09,40.05
2020-11-10,41.18
2020-11-11,41.23
2020-11-12,40.9
2020-11-13,39.93
2020-11-16,41.14
2020-11-17,41.24
2020-11-18,41.64
2020-11-19,41.57
2020-11-20,41.99
2020-11-23,42.91
2020-11-24,44.71
2020-11-25,45.58
2020-11-26,.
2020-11-27,.
2020-11-30,45.2
2020-12-01,44.54
2020-12-02,45.23
2020-12-03,45.65
2020-12-04,46.23
2020-12-07,45.72
2020-12-08,45.64
2020-12-09,45.48
2020-12-10,46.76
2020-12-11,46.59
2020-12-14,47.02
2020-12-15,47.58
2020-12-16,47.86
2020-12-17,48.34
2020-12-18,49.04
2020-12-21,47.79
2020-12-22,47.02
2020-12-23,47.94
2020-12-24,48.18
2020-12-25,.
2020-12-28,47.5
2020-12-29,47.85
2020-12-30,48.24
2020-12-31,48.35
2021-01-01,.
2021-01-04,47.47
2021-01-05,49.78
2021-01-06,50.45
2021-01-07,50.63
2021-01-08,52.14
2021-01-11,52.15
2021-01-12,53.08
2021-01-13,52.81
2021-01-14,53.47
2021-01-15,52.25
2021-01-18,.
2021-01-19,52.87
2021-01-20,53.16
2021-01-21,53.0
2021-01-22,52.28
2021-01-25,52.78
2021-01-26,52.61
2021-01-27,52.81
2021-01-28,52.26
2021-01-29,52.16
2021-02-01,53.55
2021-02-02,54.77
2021-02-03,55.67
2021-02-04,56.19
2021-02-05,56.8
2021-02-08,57.95
2021-02-09,58.34
2021-02-10,58.69
2021-02-11,58.22
2021-02-12,59.5
2021-02-15,.
2021-02-16,60.07
2021-02-17,61.09
2021-02-18,60.4
2021-02-19,59.12
2021-02-22,61.67
2021-02-23,61.66
2021-02-24,63.21
2021-02-25,63.43
2021-02-26,61.55
2021-03-01,60.54
2021-03-02,59.7
2021-03-03,61.33
2021-03-04,63.81
2021-03-05,66.08
2021-03-08,65.03
2021-03-09,64.02
2021-03-10,64.45
2021-03-11,66.02
2021-03-12,65.59
2021-03-15,65.36
2021-03-16,64.82
2021-03-17,64.55
2021-03-18,59.95
2021-03-19,61.43
2021-03-22,61.48
2021-03-23,57.75
2021-03-24,61.12
2021-03-25,58.47
2021-03-26,60.93
2021-03-29,61.49
2021-03-30,60.55
2021-03-31,59.19
2021-04-01,61.41
2021-04-02,.
2021-04-05,58.73
2021-04-06,59.34
2021-04-07,59.77
2021-04-08,59.61
2021-04-09,59.29
2021-04-12,59.7
2021-04-13,60.2
2021-04-14,63.15
2021-04-15,63.42
2021-04-16,63.16
2021-04-19,63.33
2021-04-20,62.61
2021-04-21,61.34
2021-04-22,61.45
2021-04-23,62.18
2021-04-26,62.02
2021-04-27,63.03
2021-04-28,63.81
2021-04-29,65.0
2021-04-30,63.5
2021-05-03,64.46
2021-05-04,65.72
2021-05-05,65.63
2021-05-06,64.73
2021-05-07,64.96
2021-05-10,64.92
2021-05-11,65.31
2021-05-12,65.96
2021-05-13,63.82
2021-05-14,65.32
2021-05-17,66.24
2021-05-18,65.49
2021-05-19,63.28
2021-05-20,61.95
2021-05-21,63.61
2021-05-24,66.13
2021-05-25,66.27
2021-05-26,66.41
2021-05-27,66.87
2021-05-28,66.31
2021-05-31,.
2021-06-01,67.8
2021-06-02,68.79
2021-06-03,68.81
2021-06-04,69.57
2021-06-07,69.21
2021-06-08,70.11
2021-06-09,69.9
2021-06-10,70.34
2021-06-11,71.0
2021-06-14,70.94
2021-06-15,72.06
2021-06-16,72.03
2021-06-17,71.06
2021-06-18,71.64
2021-06-21,73.64
2021-06-22,73.15
2021-06-23,73.11
2021-06-24,73.31
2021-06-25,74.21
2021-06-28,72.98
2021-06-29,73.14
2021-06-30,73.52
2021-07-01,75.33
2021-07-02,75.37
2021-07-05,.
2021-07-06,73.62
2021-07-07,72.22
2021-07-08,72.98
2021-07-09,74.56
2021-07-12,74.21
2021-07-13,75.24
2021-07-14,73.06
2021-07-15,71.67
2021-07-16,71.76
2021-07-19,66.45
2021-07-20,67.32
2021-07-21,70.26
2021-07-22,72.15
2021-07-23,72.24
2021-07-26,72.15
2021-07-27,71.68
2021-07-28,72.37
2021-07-29,73.62
2021-07-30,73.93
2021-08-02,71.31
2021-08-03,70.64
2021-08-04,68.19
2021-08-05,69.1
2021-08-06,68.26
2021-08-09,66.56
2021-08-10,68.33
2021-08-11,69.3
2021-08-12,69.12
2021-08-13,68.36
2021-08-16,67.44
2021-08-17,66.5
2021-08-18,65.36
2021-08-19,63.69
2021-08-20,62.25
2021-08-23,65.65
2021-08-24,67.5
2021-08-25,68.54
2021-08-26,67.42
2021-08-27,68.84
2021-08-30,69.28
2021-08-31,68.43
2021-09-01,68.63
2021-09-02,70.07
2021-09-03,69.34
2021-09-06,.
2021-09-07,68.49
2021-09-08,69.36
2021-09-09,68.26
2021-09-10,69.82
2021-09-13,70.54
2021-09-14,70.53
2021-09-15,72.59
2021-09-16,72.69
2021-09-17,72.09
2021-09-20,70.41
2021-09-21,70.51
2021-09-22,72.37
2021-09-23,73.43
2021-09-24,74.18
2021-09-27,75.54
2021-09-28,75.44
2021-09-29,75.06
2021-09-30,75.22
2021-10-01,76.01
2021-10-04,77.68
2021-10-05,79.17
2021-10-06,77.66
2021-10-07,78.46
2021-10-08,79.55
2021-10-11,80.64
2021-10-12,80.75
2021-10-13,80.67
2021-10-14,81.43
2021-10-15,82.39
2021-10-18,82.62
2021-10-19,83.19
2021-10-20,84.4
2021-10-21,82.64
2021-10-22,84.53
2021-10-25,84.64
2021-10-26,85.64
2021-10-27,82.66
2021-10-28,82.78
2021-10-29,83.5
2021-11-01,84.08
2021-11-02,83.91
2021-11-03,80.82
2021-11-04,78.88
